rank,id,title,cluster,citation_score,moat_score,upgrade_potential,weakest_citation_dim,weakest_moat_dim,recommended_action_1,recommended_action_2,recommended_action_3
125,696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,Cat Supplies,72.2,75.0,16.6,practical_specificity (49.0),practical_moat (50.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add comparison tables and pros/cons
126,3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,75.2,76.3,16.5,practical_specificity (58.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
127,4783,How to Choose the Right Dog Bed Size,Dog Beds,76.5,76.6,15.9,comparison_usefulness (62.0),practical_moat (64.0),Add structured comparison tables,Add practical how-to guide blocks,Add authoritative UK source references
128,4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,77.0,76.6,15.7,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add authoritative UK source references
129,4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,76.7,78.7,15.7,practical_specificity (60.0),trust_moat (59.0),Add UK expert trust references,Add practical step-by-step guide blocks,Add practical how-to guide blocks
130,5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Uncategorized,68.9,77.6,15.7,practical_specificity (28.0),practical_moat (35.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
131,4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,76.3,77.9,15.6,practical_specificity (55.0),practical_moat (56.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
132,5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,68.8,78.6,15.4,practical_specificity (31.0),practical_moat (44.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
133,4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,75.5,75.1,15.3,practical_specificity (58.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add practical step-by-step guide blocks,Add practical how-to guide blocks
134,7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,74.3,78.4,15.3,practical_specificity (54.0),trust_moat (54.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add authoritative UK source references
135,4321,Best Cat Litter UK (2026) – Types & Comparison Guide,Cat Supplies,77.2,73.6,15.0,comparison_usefulness (64.0),comparison_moat (51.0),Add comparison tables and pros/cons,Add UK expert trust references,Add structured comparison tables
136,7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,78.2,74.7,14.8,practical_specificity (52.0),trust_moat (53.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add practical how-to guide blocks
137,7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,72.5,75.7,14.8,practical_specificity (40.0),practical_moat (47.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
138,5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,71.2,78.0,14.6,practical_specificity (33.0),practical_moat (38.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
139,5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,70.8,78.6,14.6,practical_specificity (33.0),practical_moat (46.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
140,4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,77.8,76.4,14.0,practical_specificity (63.0),practical_moat (63.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
141,4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,79.1,76.9,13.8,practical_specificity (57.0),trust_moat (58.0),Add practical step-by-step guide blocks,Add UK expert trust references,Add practical how-to guide blocks
142,5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,72.2,80.0,13.6,practical_specificity (31.0),practical_moat (46.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
143,5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,78.7,80.7,13.5,comparison_usefulness (60.0),glossary_moat (60.0),Add structured comparison tables,Add Key Terms / glossary block,Add practical how-to guide blocks
144,5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,76.8,82.3,13.3,comparison_usefulness (54.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add structured comparison tables,Add practical step-by-step guide blocks
145,4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,77.4,80.3,13.0,practical_specificity (54.0),practical_moat (55.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
146,4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,80.3,77.7,12.6,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add authoritative UK source references
147,4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,80.3,82.4,12.4,practical_specificity (61.0),citation_moat (60.0),Add citation-ready reference blocks,Add practical step-by-step guide blocks,Add authoritative UK source references
148,4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,79.5,79.6,12.3,comparison_usefulness (62.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add practical how-to guide blocks,Add structured comparison tables
149,4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,79.8,76.4,11.7,comparison_usefulness (62.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add structured comparison tables,Add UK expert trust references
150,5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,76.9,81.4,11.7,practical_specificity (58.0),practical_moat (59.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add structured comparison tables
151,5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,78.8,78.3,11.5,comparison_usefulness (46.0),comparison_moat (52.0),Add structured comparison tables,Add comparison tables and pros/cons,Add Key Terms / glossary block
152,4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,80.8,77.6,10.9,comparison_usefulness (62.0),comparison_moat (49.0),Add comparison tables and pros/cons,Add structured comparison tables,Add citation-ready reference blocks
153,4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,80.8,77.6,10.9,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add UK expert trust references
154,4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,80.7,79.0,10.5,comparison_usefulness (64.0),comparison_moat (56.0),Add comparison tables and pros/cons,Add structured comparison tables,Add authoritative UK source references
155,3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,83.6,79.1,10.3,reference_quality (46.0),citation_moat (44.0),Add citation-ready reference blocks,Add authoritative UK source references,Add UK expert trust references
156,4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,81.5,79.3,10.1,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add practical how-to guide blocks
157,7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,77.5,79.6,10.1,practical_specificity (45.0),practical_moat (47.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add UK expert trust references
158,4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,79.8,77.3,9.9,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add Key Terms / glossary block
159,5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,79.5,83.4,9.2,practical_specificity (63.0),practical_moat (62.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add authoritative UK source references
160,4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,84.6,78.7,9.1,practical_specificity (66.0),practical_moat (55.0),Add practical how-to guide blocks,Add practical step-by-step guide blocks,Add UK expert trust references
161,3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,83.3,82.4,8.7,reference_quality (65.0),trust_moat (59.0),Add UK expert trust references,Add authoritative UK source references,Add practical how-to guide blocks
162,4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,85.2,79.6,8.5,comparison_usefulness (62.0),comparison_moat (54.0),Add comparison tables and pros/cons,Add structured comparison tables,Add UK expert trust references
163,5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,83.1,85.9,7.8,practical_specificity (53.0),practical_moat (56.0),Add practical step-by-step guide blocks,Add practical how-to guide blocks,Add authoritative UK source references
164,5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,83.3,81.6,7.2,comparison_usefulness (70.0),glossary_moat (68.0),Add Key Terms / glossary block,Add structured comparison tables,Add comparison tables and pros/cons
165,4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,85.2,84.7,4.9,reference_quality (75.0),trust_moat (72.0),Add UK expert trust references,Add comparison tables and pros/cons,Add authoritative UK source references
166,3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,85.8,87.9,4.7,reference_quality (75.0),trust_moat (71.0),Add UK expert trust references,Add practical how-to guide blocks,Add authoritative UK source references
167,3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,90.0,86.3,4.5,reference_quality (70.0),trust_moat (63.0),Add UK expert trust references,Add authoritative UK source references,Add Key Terms / glossary block
168,3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,94.8,89.6,3.0,reference_quality (75.0),trust_moat (71.0),Add UK expert trust references,Add authoritative UK source references,Add Key Terms / glossary block
