id,title,cluster,url,word_count,saturation,authority_density,semantic_coverage,glossary_density,trust_intensity,citation_confidence,practical_usefulness,comparison_usefulness,ai_readiness,indexing_momentum,topical_dominance_score
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Dog Food,https://pethubonline.com/indoor-cat-diet-nutrition-guide/,988,40,60,100,20,70,40,35,0,40,60,46.5
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Puppy Care,https://pethubonline.com/puppy-bed-training-guide/,1539,60,45,100,0,70,30,55,0,40,65,46.5
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,https://pethubonline.com/how-to-wash-dog-bed-safely/,1740,60,45,100,10,70,40,35,0,40,65,46.5
7337,Puppy Vaccination Schedule UK: What to Expect and When,Puppy Care,https://pethubonline.com/puppy-vaccination-schedule-uk/,1092,60,60,100,0,70,30,25,0,40,65,45.0
8172,Our Research Standards,Uncategorized,https://pethubonline.com/our-research-standards/,1084,60,100,59,20,100,15,10,0,20,55,43.9
7341,First Week with a New Puppy: A Day-by-Day Guide,Puppy Care,https://pethubonline.com/first-week-new-puppy-guide/,1072,60,60,100,0,70,30,10,0,40,65,43.5
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,https://pethubonline.com/indoor-cat-safety-household-hazards/,903,40,60,100,20,70,40,0,0,40,60,43.0
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Puppy Care,https://pethubonline.com/puppy-sleep-guide-by-age/,990,40,45,100,0,70,30,25,0,60,60,43.0
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Dog Training,https://pethubonline.com/indoor-cat-behaviour-common-issues/,867,40,60,100,0,70,30,25,0,40,60,42.5
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Puppy Care,https://pethubonline.com/puppy-teething-guide-stages-signs/,990,40,60,100,0,70,30,25,0,40,60,42.5
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,https://pethubonline.com/seasonal-dog-bedding-guide/,1188,60,45,100,0,70,30,10,0,40,65,42.0
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,https://pethubonline.com/dog-bed-placement-guide/,1579,60,45,100,0,70,30,10,0,40,65,42.0
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Dog Toys,https://pethubonline.com/cat-friendly-home-enrichment-indoor-cats/,829,40,45,100,10,70,40,10,0,40,60,41.5
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Puppy Care,https://pethubonline.com/puppy-proofing-home-safety-guide/,915,40,60,100,0,70,30,0,0,40,60,40.0
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,https://pethubonline.com/indoor-cat-exercise-guide/,907,40,45,100,0,70,30,10,0,40,60,39.5
8171,Why PetHub Online Exists,Uncategorized,https://pethubonline.com/why-pethub-online-exists/,634,40,100,31,0,100,15,0,0,0,40,32.6
