post_id,title,cluster,slug,authority_score,ownership_score,visibility_score,snippet_score,citation_score,search_coverage_score,overall_dominance,grade,analysis_date
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,enrichment-by-breed-group,63.6,58.1,47.7,0.0,37.0,65.7,46.4,C,2026-05-30
4790,DIY Dog Toys: Safe Homemade Options,Dog Supplies,diy-dog-toys-homemade,59.3,45.2,68.7,0.0,43.8,49.3,46.3,C,2026-05-30
4791,How to Choose the Right Dog Training Treats,Dog Supplies,how-to-choose-dog-training-treats,59.3,54.8,47.8,0.0,54.8,54.0,46.0,C,2026-05-30
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,best-cat-scratching-posts-uk,56.8,54.8,46.6,0.0,64.4,47.4,45.7,C,2026-05-30
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Supplies,best-interactive-cat-toys-indoor-cats,56.8,58.1,50.1,0.0,46.6,56.2,45.5,C,2026-05-30
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,puppy-care-glossary-essential-terms-for-new-puppy-owners,52.4,51.6,57.6,0.0,63.0,41.0,45.3,C,2026-05-30
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,top-dog-toys-every-pet-owner-needs-in-2026,59.3,48.4,46.9,0.0,80.8,31.2,45.3,C,2026-05-30
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,safe-multi-dog-toy-management,63.6,54.8,47.7,0.0,38.4,60.7,45.3,C,2026-05-30
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Supplies,cat-toy-safety-guide,56.8,58.1,49.4,0.0,43.8,58.1,45.2,C,2026-05-30
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,best-dog-flea-treatment-uk,49.2,58.1,45.2,0.0,71.2,46.0,45.2,C,2026-05-30
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Supplies,how-often-replace-cat-toys,56.8,58.1,47.2,0.0,45.2,57.9,45.0,C,2026-05-30
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,pet-first-aid-basics,59.3,48.4,49.9,0.0,45.2,57.4,44.5,D,2026-05-30
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,dog-grooming-basics-guide,52.4,45.2,57.6,0.0,46.6,52.4,43.6,D,2026-05-30
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,sensory-enrichment-dogs,63.6,51.6,44.9,0.0,37.0,56.9,43.5,D,2026-05-30
