post_id,title,cluster,terms_present,terms_missing,glossary_terms,inline_defs,completeness_score,missing_terms_list,weak_definitions
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,dog_food,2,16,8,12,47,kibble; complete food; complementary food; grain-free; freeze-dried; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; RSPCA; BVA; positive reinforcement; enrichment,slow feeder
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,dog_food,1,17,8,14,43,kibble; complete food; complementary food; grain-free; freeze-dried; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; RSPCA; BVA; positive reinforcement; enrichment; microchip,(none)
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,dog_food,3,15,8,16,50,complete food; complementary food; grain-free; freeze-dried; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; RSPCA; BVA; positive reinforcement; microchip,kibble; enrichment
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,dog_food,2,16,8,14,47,complete food; complementary food; grain-free; freeze-dried; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; RSPCA; BVA; positive reinforcement; enrichment; microchip,kibble
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,dog_beds,1,13,8,14,44,orthopaedic; memory foam; bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; enrichment; body condition score; microchip,(none)
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,puppy_care,6,9,8,14,64,mouthing; crate training; high-value treat; separation anxiety; RSPCA; BVA; enrichment; body condition score; microchip,bite inhibition
4125,Best Dog Training Treats UK (2026) – Reward Guide,dog_food,2,16,8,14,47,kibble; complete food; complementary food; grain-free; slow feeder; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; RSPCA; BVA; enrichment; microchip,freeze-dried
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,dog_food,3,15,8,14,50,kibble; complete food; complementary food; grain-free; freeze-dried; slow feeder; body condition score; FEDIAF; palatability; digestibility; guaranteed analysis; crude protein; moisture content; BVA; microchip,RSPCA; enrichment
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,dog_health,2,10,8,8,46,microchip; body condition score; dental scaling; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,joint supplement; glucosamine
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,dog_health,3,9,8,10,55,microchip; body condition score; dental scaling; glucosamine; omega fatty acids; parasite lifecycle; RSPCA; positive reinforcement; enrichment,spot-on treatment
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,dog_health,2,10,8,12,50,microchip; body condition score; glucosamine; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,(none)
4089,Best Dog Health and Care UK (2026) – Complete Guide,dog_health,2,10,8,8,46,microchip; body condition score; dental scaling; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,glucosamine
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,dog_health,0,12,8,8,36,microchip; body condition score; dental scaling; joint supplement; glucosamine; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,(none)
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,dog_health,0,12,8,8,36,microchip; body condition score; dental scaling; joint supplement; glucosamine; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,(none)
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,dog_beds,0,14,8,10,40,orthopaedic; memory foam; bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; positive reinforcement; enrichment; body condition score; microchip,(none)
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,dog_health,0,12,8,8,36,microchip; body condition score; dental scaling; joint supplement; glucosamine; omega fatty acids; parasite lifecycle; spot-on treatment; RSPCA; BVA; positive reinforcement; enrichment,(none)
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,puppy_care,0,15,8,10,40,socialisation; counter-conditioning; positive reinforcement; recall; mouthing; crate training; high-value treat; clicker training; separation anxiety; bite inhibition; RSPCA; BVA; enrichment; body condition score; microchip,(none)
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,dog_beds,1,13,8,14,44,orthopaedic; memory foam; bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; enrichment; body condition score; microchip,(none)
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,dog_beds,1,13,8,14,44,orthopaedic; memory foam; bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; enrichment; body condition score; microchip,(none)
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,dog_beds,2,12,8,12,49,bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; positive reinforcement; enrichment; body condition score; microchip,(none)
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,dog_beds,2,12,8,6,41,memory foam; bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; enrichment; body condition score; microchip,orthopaedic
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,dog_beds,4,10,8,12,57,bolster bed; nest bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; positive reinforcement; enrichment; body condition score,orthopaedic; memory foam; elevated bed
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,dog_beds,2,12,8,8,45,bolster bed; nest bed; elevated bed; denier; waterproof liner; anti-microbial; RSPCA; BVA; positive reinforcement; enrichment; body condition score; microchip,orthopaedic; memory foam
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,dog_beds,7,7,8,10,70,denier; anti-microbial; RSPCA; BVA; positive reinforcement; enrichment; body condition score,orthopaedic; memory foam; bolster bed; nest bed; elevated bed; waterproof liner
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,dog_toys,5,13,8,12,57,desensitisation; resource guarding; interactive toy; flirt pole; dental chew; lick mat; denier; stuffable toy; nylon chew; RSPCA; BVA; body condition score; microchip,enrichment; puzzle feeder; tug toy; snuffle mat
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,dog_toys,7,11,8,6,55,desensitisation; tug toy; flirt pole; dental chew; denier; stuffable toy; nylon chew; BVA; positive reinforcement; body condition score; microchip,puzzle feeder; interactive toy; snuffle mat; lick mat; RSPCA
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,dog_toys,5,13,8,12,57,desensitisation; resource guarding; flirt pole; snuffle mat; dental chew; lick mat; denier; stuffable toy; nylon chew; RSPCA; BVA; positive reinforcement; body condition score,puzzle feeder; tug toy
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,dog_toys,7,11,8,14,63,desensitisation; resource guarding; flirt pole; dental chew; denier; stuffable toy; RSPCA; BVA; positive reinforcement; body condition score; microchip,enrichment; tug toy; snuffle mat; lick mat; nylon chew
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,puppy_care,0,15,8,10,40,socialisation; counter-conditioning; positive reinforcement; recall; mouthing; crate training; high-value treat; clicker training; separation anxiety; bite inhibition; RSPCA; BVA; enrichment; body condition score; microchip,(none)
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,dog_food,5,13,7,12,57,complete food; complementary food; freeze-dried; slow feeder; body condition score; digestibility; guaranteed analysis; crude protein; RSPCA; BVA; positive reinforcement; enrichment; microchip,kibble; FEDIAF; palatability; moisture content
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,dog_food,8,10,7,10,67,freeze-dried; slow feeder; body condition score; digestibility; moisture content; RSPCA; BVA; positive reinforcement; enrichment; microchip,kibble; complete food; complementary food; FEDIAF; palatability; crude protein
3836,Best Dog Food UK (2026) – Complete Buying Guide,dog_food,9,9,12,12,70,freeze-dried; slow feeder; body condition score; guaranteed analysis; RSPCA; BVA; positive reinforcement; enrichment; microchip,kibble; complementary food; palatability; digestibility; crude protein; moisture content
696,Essential Cat Supplies for Cat Owners – Number 1 Must-Haves,cat,3,10,8,10,54,catnip; pheromone diffuser; interactive toy; indoor enrichment; litter substrate; RSPCA; BVA; positive reinforcement; body condition score; microchip,scratching post
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,dog_toys,2,16,8,10,47,enrichment; desensitisation; resource guarding; interactive toy; flirt pole; snuffle mat; dental chew; lick mat; denier; stuffable toy; nylon chew; RSPCA; BVA; positive reinforcement; body condition score; microchip,puzzle feeder; tug toy
