post_id,title,cluster,current_confidence,weakest_dimension,improvement_action,estimated_gain,priority
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,43,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+7.0,P1-Critical
5512,Dog Behaviour Explained: Understanding Your Dog’s Body Language and Actions,Educational,44,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+6.0,P1-Critical
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Dog Care,44,Summary Usefulness,"Add 'At a Glance' box, 'Key Takeaways' list, conclusion/summary section, bullet-point recap at top or bottom",+3.0,P1-Critical
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Dog Toys,45,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+5.6,P1-Critical
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Dog Health,46,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+6.0,P1-Critical
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Pet Care General,46,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+6.0,P1-Critical
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Unclassified,47,Summary Usefulness,"Add 'At a Glance' box, 'Key Takeaways' list, conclusion/summary section, bullet-point recap at top or bottom",+3.0,P1-Critical
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Pet Care General,47,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+5.2,P1-Critical
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Educational,48,Summary Usefulness,"Add 'At a Glance' box, 'Key Takeaways' list, conclusion/summary section, bullet-point recap at top or bottom",+2.1,P1-Critical
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Dog Toys,48,Trust Reinforcement,"Add 'Our Methodology' or 'Editorial Standards' links, fact-check disclaimers, 'reviewed by' attributions, vet-reviewed badges",+8.1,P1-Critical
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,48,Comparison Usefulness,"Add comparison tables (wp-block-table), 'vs' sections, pro/con lists, side-by-side feature breakdowns",+6.5,P1-Critical
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Pet Care General,49,Practical Specificity,"Include specific measurements (cm/kg/ml), brand names, UK-specific guidance, price ranges, dosage/quantity recommendations",+6.0,P1-Critical
3838,Dry vs Wet Dog Food UK – An Honest Comparison Guide,Dog Food,50,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+6.5,P2-High
3839,Best Puppy Food UK (2026) – Growth-Stage Nutrition Guide,Dog Food,54,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+6.5,P2-High
3837,Best Dry Dog Food UK (2026) – Evidence-Based Guide,Dog Food,54,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+6.0,P2-High
3836,Best Dog Food UK (2026) – Complete Buying Guide,Dog Food,57,Reference Quality,"Add external citations to RSPCA, BVA, PDSA, gov.uk, Battersea, Blue Cross, FEDIAF; include source attribution phrases",+6.5,P2-High
